date,open,high,low,close,adj_close,volume,ticker,adj_factor
2020-06-18,3210.0,3350.0,3180.0,3280.0,2221.83203125,235586600,TLKM.JK,0.6773878144054878
2020-06-19,3300.0,3340.0,3250.0,3280.0,2221.83203125,227358800,TLKM.JK,0.6773878144054878
2020-06-22,3290.0,3300.0,3180.0,3200.0,2167.64111328125,159776500,TLKM.JK,0.6773878479003906
2020-06-23,3200.0,3200.0,3120.0,3130.0,2120.223876953125,167271000,TLKM.JK,0.6773878201128195
2020-06-24,3150.0,3230.0,3140.0,3180.0,2154.093017578125,170895600,TLKM.JK,0.6773877413767688
2020-06-25,3160.0,3220.0,3140.0,3160.0,2140.545166015625,100882600,TLKM.JK,0.6773877107644383
2020-06-26,3190.0,3220.0,3180.0,3190.0,2160.8671875,100784500,TLKM.JK,0.6773878330721003
2020-06-29,3200.0,3250.0,3160.0,3180.0,2154.093017578125,156613200,TLKM.JK,0.6773877413767688
2020-06-30,3090.0,3100.0,3050.0,3050.0,2171.2265625,258068400,TLKM.JK,0.7118775614754098
2020-07-01,3070.0,3100.0,3010.0,3040.0,2164.10791015625,148037400,TLKM.JK,0.7118776020250822
2020-07-02,3040.0,3140.0,3040.0,3140.0,2235.2958984375,178357900,TLKM.JK,0.7118776746616242
2020-07-03,3150.0,3180.0,3110.0,3120.0,2221.058349609375,102033100,TLKM.JK,0.7118776761568509
2020-07-06,3130.0,3150.0,3040.0,3050.0,2171.2265625,248572600,TLKM.JK,0.7118775614754098
2020-07-07,3060.0,3120.0,3050.0,3120.0,2221.058349609375,169104200,TLKM.JK,0.7118776761568509
2020-07-08,3130.0,3160.0,3110.0,3150.0,2242.414794921875,158166300,TLKM.JK,0.7118777126736111
2020-07-09,3170.0,3190.0,3110.0,3110.0,2213.939453125,125940800,TLKM.JK,0.7118776376607717
2020-07-10,3110.0,3130.0,3100.0,3110.0,2213.939453125,95422400,TLKM.JK,0.7118776376607717
2020-07-13,3120.0,3130.0,3080.0,3090.0,2199.701904296875,77733900,TLKM.JK,0.7118776389310275
2020-07-14,3100.0,3110.0,3070.0,3080.0,2192.5830078125,111442600,TLKM.JK,0.7118775999391234
2020-07-15,3120.0,3130.0,3080.0,3090.0,2199.701904296875,102304100,TLKM.JK,0.7118776389310275
2020-07-16,3090.0,3110.0,3080.0,3100.0,2206.820556640625,91951000,TLKM.JK,0.7118775989163306
2020-07-17,3100.0,3110.0,3060.0,3060.0,2178.345703125,112416300,TLKM.JK,0.711877680759804
2020-07-20,3080.0,3080.0,3040.0,3060.0,2178.345703125,64735500,TLKM.JK,0.711877680759804
2020-07-21,3050.0,3110.0,3050.0,3060.0,2178.345703125,101283800,TLKM.JK,0.711877680759804
2020-07-22,3070.0,3090.0,3060.0,3070.0,2185.46435546875,69462100,TLKM.JK,0.7118776402178338
2020-07-23,3070.0,3090.0,3060.0,3070.0,2185.46435546875,70482100,TLKM.JK,0.7118776402178338
2020-07-24,3080.0,3080.0,3020.0,3020.0,2149.87060546875,137265100,TLKM.JK,0.7118776839300497
2020-07-27,3020.0,3050.0,3020.0,3040.0,2164.10791015625,58708800,TLKM.JK,0.7118776020250822
2020-07-28,3050.0,3050.0,3010.0,3020.0,2149.87060546875,102705300,TLKM.JK,0.7118776839300497
2020-07-29,3030.0,3050.0,3000.0,3000.0,2135.633056640625,114352000,TLKM.JK,0.711877685546875
2020-07-30,3040.0,3050.0,3000.0,3050.0,2171.2265625,95785000,TLKM.JK,0.7118775614754098
2020-08-03,3060.0,3060.0,2850.0,2920.0,2078.682861328125,255659800,TLKM.JK,0.7118776922356592
2020-08-04,2970.0,2970.0,2920.0,2950.0,2100.038818359375,96018000,TLKM.JK,0.7118775655455508
